Variable,Unit
AR6 climate diagnostics|Effective Radiative Forcing|Basket|Greenhouse Gases|CICERO-SCM|50.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|Basket|Greenhouse Gases|FaIRv1.6.2|50.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|Basket|Non-CO2 Greenhouse Gases|CICERO-SCM|50.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|Basket|Non-CO2 Greenhouse Gases|FaIRv1.6.2|50.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|CH4|CICERO-SCM|50.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|CH4|FaIRv1.6.2|50.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|33.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|5.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|50.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|67.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|95.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|CO2|CICERO-SCM|50.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|CO2|FaIRv1.6.2|50.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|33.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|5.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|50.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|67.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|95.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|33.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|5.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|50.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|67.0th Percentile,W/m^2
AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|95.0th Percentile,W/m^2
AR6 climate diagnostics|Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr
AR6 climate diagnostics|Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr
AR6 climate diagnostics|Exceedance Probability 1.5C|CICERO-SCM,dimensionless
AR6 climate diagnostics|Exceedance Probability 1.5C|FaIRv1.6.2,dimensionless
AR6 climate diagnostics|Exceedance Probability 1.5C|MAGICCv7.5.3,dimensionless
AR6 climate diagnostics|Exceedance Probability 2.0C|CICERO-SCM,dimensionless
AR6 climate diagnostics|Exceedance Probability 2.0C|FaIRv1.6.2,dimensionless
AR6 climate diagnostics|Exceedance Probability 2.0C|MAGICCv7.5.3,dimensionless
AR6 climate diagnostics|Exceedance Probability 2.5C|CICERO-SCM,dimensionless
AR6 climate diagnostics|Exceedance Probability 2.5C|FaIRv1.6.2,dimensionless
AR6 climate diagnostics|Exceedance Probability 2.5C|MAGICCv7.5.3,dimensionless
AR6 climate diagnostics|Exceedance Probability 3.0C|CICERO-SCM,dimensionless
AR6 climate diagnostics|Exceedance Probability 3.0C|FaIRv1.6.2,dimensionless
AR6 climate diagnostics|Exceedance Probability 3.0C|MAGICCv7.5.3,dimensionless
AR6 climate diagnostics|Infilled|Emissions|CH4,Mt CH4/yr
AR6 climate diagnostics|Infilled|Emissions|CO2,Mt CO2/yr
AR6 climate diagnostics|Infilled|Emissions|F-Gases,Mt CO2/yr
AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr
AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr
AR6 climate diagnostics|Infilled|Emissions|N2O,kt N2O/yr
AR6 climate diagnostics|Native-with-Infilled|Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr
AR6 climate diagnostics|Native-with-Infilled|Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr
AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|10.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|16.7th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|33.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|5.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|50.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|67.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|83.3th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|90.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|CICERO-SCM|95.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|10.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|16.7th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|33.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|5.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|50.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|67.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|83.3th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|90.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|95.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|16.7th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|33.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|5.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|67.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|83.3th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,K
AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|95.0th Percentile,K
Agricultural Demand,million t DM/yr
Agricultural Demand|Crops,million t DM/yr
Agricultural Demand|Crops|Energy,million t DM/yr
Agricultural Demand|Crops|Energy|1st generation,million t DM/yr
Agricultural Demand|Crops|Energy|2nd generation,million t DM/yr
Agricultural Demand|Crops|Feed,million t DM/yr
Agricultural Demand|Crops|Food,million t DM/yr
Agricultural Demand|Crops|Other,million t DM/yr
Agricultural Demand|Livestock,million t DM/yr
Agricultural Demand|Livestock|Food,million t DM/yr
Agricultural Demand|Livestock|Other,million t DM/yr
Agricultural Production,million t DM/yr
Agricultural Production|Energy,million t DM/yr
Agricultural Production|Energy|Crops,million t DM/yr
Agricultural Production|Energy|Residues,million t DM/yr
Agricultural Production|Non-Energy,million t DM/yr
Agricultural Production|Non-Energy|Crops,million t DM/yr
Agricultural Production|Non-Energy|Livestock,million t DM/yr
Capacity Additions|Electricity|Biomass,GW/yr
Capacity Additions|Electricity|Biomass,GW
Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr
Capacity Additions|Electricity|Biomass|w/ CCS,GW
Capacity Additions|Electricity|Biomass|w/o CCS,GW
Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr
Capacity Additions|Electricity|Coal,GW
Capacity Additions|Electricity|Coal,GW/yr
Capacity Additions|Electricity|Coal|w/ CCS,GW/yr
Capacity Additions|Electricity|Coal|w/ CCS,GW
Capacity Additions|Electricity|Coal|w/o CCS,GW/yr
Capacity Additions|Electricity|Coal|w/o CCS,GW
Capacity Additions|Electricity|Fossil,GW/yr
Capacity Additions|Electricity|Fossil,GW
Capacity Additions|Electricity|Gas,GW/yr
Capacity Additions|Electricity|Gas,GW
Capacity Additions|Electricity|Gas|w/ CCS,GW/yr
